Links,Category
https://www.youtube.com/watch?v=uo-j1J1sZ90,6. Scam and Fraud
https://www.youtube.com/watch?v=Ex4VQvzYxF4,6. Scam and Fraud
https://www.youtube.com/watch?v=lha4ahcLUhI,5. Defamation
https://www.youtube.com/watch?v=BD5kCzSVcwc,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=eJy-xrqskTg,5. Defamation
https://www.youtube.com/watch?v=NZkZzjC-n28,3. Detrimental Actions
https://www.youtube.com/watch?v=jR-pWtqKBf0,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=MVUeUtpmCS4,5. Defamation
https://www.youtube.com/watch?v=MIj2liaAwt4,5. Defamation
https://www.youtube.com/watch?v=m_izkxEieuo,3. Detrimental Actions
https://www.youtube.com/watch?v=1dMiyOpxWis,3. Detrimental Actions
https://www.youtube.com/watch?v=DnvfxfDraNU,6. Scam and Fraud
https://www.youtube.com/watch?v=A4FU5Ki-GeM,5. Defamation
https://www.youtube.com/watch?v=OFbRWS-1nn4,3. Detrimental Actions
https://www.youtube.com/watch?v=P_KZpYV_oM4,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=_d7XVgVwMUM,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=8mm4NXDoG_I,6. Scam and Fraud
https://www.youtube.com/watch?v=cbDRSu6IeJY,6. Scam and Fraud
https://www.youtube.com/watch?v=dozpAshvtsA,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=GYjTlfZn7R8,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=Fey6xVCWxzo,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=WN-ky5qrGLI,6. Scam and Fraud
https://www.youtube.com/watch?v=o45zN95KjRI,6. Scam and Fraud
https://www.youtube.com/watch?v=ZW6MBDWEhDM,3. Detrimental Actions
https://www.youtube.com/watch?v=WOOjugr9Kj4,3. Detrimental Actions
https://www.youtube.com/watch?v=KGT0gAzdgDM,3. Detrimental Actions
https://www.youtube.com/watch?v=p0E2tjhUcug,6. Scam and Fraud
https://www.youtube.com/watch?v=rSxj5gCOsx4,3. Detrimental Actions
https://www.youtube.com/watch?v=ou7zMj6zfeA,2. Exploitative Content
https://www.youtube.com/watch?v=7fQ6JklHjBc,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=m0Ez55owTT8,6. Scam and Fraud
https://www.youtube.com/watch?v=XfKeZruVylQ,5. Defamation
https://www.youtube.com/watch?v=DUqlLd1B86k,3. Detrimental Actions
https://www.youtube.com/watch?v=btzDIKUWqDg,2. Exploitative Content
https://www.youtube.com/watch?v=qhq8xIoTSAo,5. Defamation
https://www.youtube.com/watch?v=Br7GasykDX0,6. Scam and Fraud
https://www.youtube.com/watch?v=PJebxRMOOvc,6. Scam and Fraud
https://www.youtube.com/watch?v=l-LHDTJda1Q,3. Detrimental Actions
https://www.youtube.com/watch?v=3Xxno6ejNoA,6. Scam and Fraud
https://www.youtube.com/watch?v=-tjZjDX1k84,5. Defamation
https://www.youtube.com/watch?v=qLqiVdL_CYc,3. Detrimental Actions
https://www.youtube.com/watch?v=kqm4gsSTfbg,5. Defamation
https://www.youtube.com/watch?v=cMLaJsSrZuQ,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=BvABX5JzjBQ,6. Scam and Fraud
https://www.youtube.com/watch?v=HflvyNj7o_o,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=VENY5FA93xI,3. Detrimental Actions
https://www.youtube.com/watch?v=iJSQQu9OYwM,3. Detrimental Actions
https://www.youtube.com/watch?v=rM0S5sc50jA,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=Vzglz3KirhM,3. Detrimental Actions
https://www.youtube.com/watch?v=CIkek9TXKOU,3. Detrimental Actions
https://www.youtube.com/watch?v=lCDYXSnuq0w,5. Defamation
https://www.youtube.com/watch?v=CD74gXfv3ao,6. Scam and Fraud
https://www.youtube.com/watch?v=3zGdTvyg3HM,5. Defamation
https://www.youtube.com/watch?v=p3Gly4hncdQ,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=TsUuypZ2jLc,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=pr6gkBu3WF4,2. Exploitative Content
https://www.youtube.com/watch?v=-DKmbVxne18,6. Scam and Fraud
https://www.youtube.com/watch?v=pDw7zzNgNkQ,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=F07s8v7nwS8,5. Defamation
https://www.youtube.com/watch?v=Glx8Am7P6kg,5. Defamation
https://www.youtube.com/watch?v=RqxepnSg2rA,6. Scam and Fraud
https://www.youtube.com/watch?v=6My-puJDMOg,2. Exploitative Content
https://www.youtube.com/watch?v=_b-Hu0_EEh0,3. Detrimental Actions
https://www.youtube.com/watch?v=_cP00AfRIrk,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=4QP3y5JrtlU,3. Detrimental Actions
https://www.youtube.com/watch?v=OaKEtC3llrA,3. Detrimental Actions
https://www.youtube.com/watch?v=yklkNvc6Z48,3. Detrimental Actions
https://www.youtube.com/watch?v=XUMoKPDGEpk,6. Scam and Fraud
https://www.youtube.com/watch?v=K0MJpkBI9vA,5. Defamation
https://www.youtube.com/watch?v=-1p8o1NGws4,5. Defamation
https://www.youtube.com/watch?v=JLiOnzeQ6FM,3. Detrimental Actions
https://www.youtube.com/watch?v=yFmNJ6DKB3M,3. Detrimental Actions
https://www.youtube.com/watch?v=Z3CxVTbI-ug,2. Exploitative Content
https://www.youtube.com/watch?v=Ovd-BqR2pKA,3. Detrimental Actions
https://www.youtube.com/watch?v=OjWcJ0AMvfA,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=fG05lF6p5kA,5. Defamation
https://www.youtube.com/watch?v=LXDMMfwXLlo,5. Defamation
https://www.youtube.com/watch?v=ayQcsKBw1iI,6. Scam and Fraud
https://www.youtube.com/watch?v=5A4BfqTssCk,6. Scam and Fraud
https://www.youtube.com/watch?v=vxb4XrCtJ5o,6. Scam and Fraud
https://www.youtube.com/watch?v=v_I8opWj0XA,6. Scam and Fraud
https://www.youtube.com/watch?v=pkbNxBBwfHI,3. Detrimental Actions
https://www.youtube.com/watch?v=ISJps9EaKr4,5. Defamation
https://www.youtube.com/watch?v=FxB0LHvS4fg,5. Defamation
https://www.youtube.com/watch?v=mbDbceavdsQ,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=P6mI-gNu3Lw,3. Detrimental Actions
https://www.youtube.com/watch?v=ePDJ2rL6D5w,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=sW7kkAlP5ls,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=it5ZgQ340NQ,6. Scam and Fraud
https://www.youtube.com/watch?v=b3T_QpR4FhU,5. Defamation
https://www.youtube.com/watch?v=aMJHqOsHvrE,6. Scam and Fraud
https://www.youtube.com/watch?v=07P4mR5bR4A,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=-LCLABXsvv0,5. Defamation
https://www.youtube.com/watch?v=L6lWdRtl1j8,5. Defamation
https://www.youtube.com/watch?v=EyvxU-aMLOI,6. Scam and Fraud
https://www.youtube.com/watch?v=ZXzWK0iga2Y,5. Defamation
https://www.youtube.com/watch?v=r4gCttjH6GI,5. Defamation
https://www.youtube.com/watch?v=a1dZK6Zh86Y,3. Detrimental Actions
https://www.youtube.com/watch?v=qvGy4cP_R30,3. Detrimental Actions
https://www.youtube.com/watch?v=5YCd2fwpyz0,3. Detrimental Actions
https://www.youtube.com/watch?v=lr-C4Q_PDLE,6. Scam and Fraud
https://www.youtube.com/watch?v=qb24IyCcqEk,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=vLAcT0MPFlc,3. Detrimental Actions
https://www.youtube.com/watch?v=abprY8GuZfU,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=_D5xF_MX9yI,3. Detrimental Actions
https://www.youtube.com/watch?v=_s09EEvGf_w,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=7GYu1yYQ_cM,5. Defamation
https://www.youtube.com/watch?v=Bl_5PZBXgc0,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=DQgyVrxKVN0,3. Detrimental Actions
https://www.youtube.com/watch?v=qK6oR1OWxiE,5. Defamation
https://www.youtube.com/watch?v=qUKqrUEAMec,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=k2-e_wJthmk,5. Defamation
https://www.youtube.com/watch?v=y2jeDS1_OMQ,3. Detrimental Actions
https://www.youtube.com/watch?v=bv0XYkA2HNo,6. Scam and Fraud
https://www.youtube.com/watch?v=GJyZFUqVKkM,3. Detrimental Actions
https://www.youtube.com/watch?v=zUegOKGKKCI,4. Radical Content 
https://www.youtube.com/watch?v=7e4aIZ75Mcs,3. Detrimental Actions
https://www.youtube.com/watch?v=UhlVbR-60pE,6. Scam and Fraud
https://www.youtube.com/watch?v=Pg8mWtbGo6g,3. Detrimental Actions
https://www.youtube.com/watch?v=dIzhb6XayJY,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=7OjW1b8krBw,5. Defamation
https://www.youtube.com/watch?v=hd-sv2aJZdQ,3. Detrimental Actions
https://www.youtube.com/watch?v=ppxNuWWbSiU,6. Scam and Fraud
https://www.youtube.com/watch?v=CDCGrtDobkI,3. Detrimental Actions
https://www.youtube.com/watch?v=0dnzVaEMuCE,3. Detrimental Actions
https://www.youtube.com/watch?v=61GitUC_678,2. Exploitative Content
https://www.youtube.com/watch?v=hlC1cIcWln8,5. Defamation
https://www.youtube.com/watch?v=mNa3VYi3OzI,5. Defamation
https://www.youtube.com/watch?v=1d4xmzqshoc,6. Scam and Fraud
https://www.youtube.com/watch?v=8_3Hqh7Ggls,3. Detrimental Actions
https://www.youtube.com/watch?v=xhTVLFlcjDc,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=DxW__ZtZApo,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=OzclxHSLA2E,5. Defamation
https://www.youtube.com/watch?v=QbXyyq1333I,5. Defamation
https://www.youtube.com/watch?v=Dtw2QRoNe4Q,2. Exploitative Content
https://www.youtube.com/watch?v=0vOU4JSyyg4,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=DbjU2ReZE5Y,2. Exploitative Content
https://www.youtube.com/watch?v=zJIS8TdH48E,5. Defamation
https://www.youtube.com/watch?v=eQLmu_rklIc,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=KshteE8KTTE,5. Defamation
https://www.youtube.com/watch?v=HyR6tCUzoHo,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=65C91CrfRuU,5. Defamation
https://www.youtube.com/watch?v=sZjIKb7IifA,3. Detrimental Actions
https://www.youtube.com/watch?v=J1N3tTtNwsQ,3. Detrimental Actions
https://www.youtube.com/watch?v=eHXYla1jU58,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=kQzkpOHPWxc,6. Scam and Fraud
https://www.youtube.com/watch?v=7StC9w7e1ro,5. Defamation
https://www.youtube.com/watch?v=dCKh8rWYHFk,6. Scam and Fraud
https://www.youtube.com/watch?v=BanXZrYVsS8,5. Defamation
https://www.youtube.com/watch?v=-tP-wu_CRhk,2. Exploitative Content
https://www.youtube.com/watch?v=aotlEpmAFVQ,5. Defamation
https://www.youtube.com/watch?v=6sg6KTQubno,3. Detrimental Actions
https://www.youtube.com/watch?v=TS6G1JeKta0,3. Detrimental Actions
https://www.youtube.com/watch?v=x_-gChpFHRY,5. Defamation
https://www.youtube.com/watch?v=WRKHYefEKcA,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=0e-eadTsq5o,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=t6AaWzs8b_g,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=DFxE1iuvrys,5. Defamation
https://www.youtube.com/watch?v=dueakWOhvvo,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=1AhDC2ICAr0,5. Defamation
https://www.youtube.com/watch?v=Me9_LYeM-Fc,3. Detrimental Actions
https://www.youtube.com/watch?v=iho3VgsC57U,3. Detrimental Actions
https://www.youtube.com/watch?v=YiDJK8lnCIc,6. Scam and Fraud
https://www.youtube.com/watch?v=q6Flys52KNQ,5. Defamation
https://www.youtube.com/watch?v=ftf_CLl4IEA,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=MarUAL2faPk,3. Detrimental Actions
https://www.youtube.com/watch?v=lwS83EXukW8,3. Detrimental Actions
https://www.youtube.com/watch?v=YXGcDRhPt1U,2. Exploitative Content
https://www.youtube.com/watch?v=VmYw_0dESKg,5. Defamation
https://www.youtube.com/watch?v=v6zc8IxnuaY,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=VFVK1C5-Elk,6. Scam and Fraud
https://www.youtube.com/watch?v=RGOFEog_qlc,2. Exploitative Content
https://www.youtube.com/watch?v=_3J5acc7398,6. Scam and Fraud
https://www.youtube.com/watch?v=QCSwL7fYMjM,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=hRr5aq9q_ss,2. Exploitative Content
https://www.youtube.com/watch?v=UzzyTOLMFv4,6. Scam and Fraud
https://www.youtube.com/watch?v=wNBbaGticSY,6. Scam and Fraud
https://www.youtube.com/watch?v=6zjdm3i34Yc,3. Detrimental Actions
https://www.youtube.com/watch?v=7wEwLmjDIxU,5. Defamation
https://www.youtube.com/watch?v=W1Q0e2mMVjQ,3. Detrimental Actions
https://www.youtube.com/watch?v=EiHOJ7sbI8k,2. Exploitative Content
https://www.youtube.com/watch?v=1cyRnLKp1y0,3. Detrimental Actions
https://www.youtube.com/watch?v=rl372SYK5VE,5. Defamation
https://www.youtube.com/watch?v=kLcS_oSiA6k,3. Detrimental Actions
https://www.youtube.com/watch?v=dSDkkiOiDXE,6. Scam and Fraud
https://www.youtube.com/watch?v=txgbxWjxT6o,3. Detrimental Actions
https://www.youtube.com/watch?v=3FNFROUVFr8,5. Defamation
https://www.youtube.com/watch?v=FPW6K5-aEWY,6. Scam and Fraud
https://www.youtube.com/watch?v=KYCcm5AEBNg,6. Scam and Fraud
https://www.youtube.com/watch?v=G-wYfZpXcFQ,5. Defamation
https://www.youtube.com/watch?v=aHjnlRqsKOM,3. Detrimental Actions
https://www.youtube.com/watch?v=o7Z9qXZOYCc,5. Defamation
https://www.youtube.com/watch?v=ryEh2YUycL0,6. Scam and Fraud
https://www.youtube.com/watch?v=maBBfiYW-C4,5. Defamation
https://www.youtube.com/watch?v=ph6pu9ZV28A,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=S_7_aJ8F6Dg,3. Detrimental Actions
https://www.youtube.com/watch?v=40IzRB8BqL0,3. Detrimental Actions
https://www.youtube.com/watch?v=rmd6eQqOu_M,3. Detrimental Actions
https://www.youtube.com/watch?v=Iv-f_KWTY44,3. Detrimental Actions
https://www.youtube.com/watch?v=In-xYjchKxY,6. Scam and Fraud
https://www.youtube.com/watch?v=nJJwcR-3kOM,5. Defamation
https://www.youtube.com/watch?v=pl65voEuy4U,3. Detrimental Actions
https://www.youtube.com/watch?v=yVFPnuAszto,2. Exploitative Content
